NumVertices,NumEdges,GraphType,Algorithm,StartNode,EndNode,TimeTaken(us)
10,45,Complete,Dijkstra,0,9,15789
10,45,Complete,Floyd-Warshall,0,9,11796
10,45,Complete,Bellman-Ford,0,9,5293
10,45,Complete,A*,0,9,8096
10,45,Complete,Dijkstra,0,9,6988
10,45,Complete,Floyd-Warshall,0,9,7305
10,45,Complete,Bellman-Ford,0,9,4592
10,45,Complete,A*,0,9,4862
10,45,Complete,Dijkstra,0,9,4194
10,45,Complete,Floyd-Warshall,0,9,7022
10,45,Complete,Bellman-Ford,0,9,4473
10,45,Complete,A*,0,9,3745
10,45,Complete,Dijkstra,0,9,4223
10,45,Complete,Floyd-Warshall,0,9,7260
10,45,Complete,Bellman-Ford,0,9,3227
10,45,Complete,A*,0,9,1983
10,45,Complete,Dijkstra,0,9,2333
10,45,Complete,Floyd-Warshall,0,9,3665
10,45,Complete,Bellman-Ford,0,9,2453
10,45,Complete,A*,0,9,1745
10,45,Complete,Dijkstra,0,9,2268
10,45,Complete,Floyd-Warshall,0,9,3635
10,45,Complete,Bellman-Ford,0,9,2546
10,45,Complete,A*,0,9,1726
10,45,Complete,Dijkstra,0,9,2185
10,45,Complete,Floyd-Warshall,0,9,3812
10,45,Complete,Bellman-Ford,0,9,2443
10,45,Complete,A*,0,9,1706
10,45,Complete,Dijkstra,0,9,2247
10,45,Complete,Floyd-Warshall,0,9,3488
10,45,Complete,Bellman-Ford,0,9,2441
10,45,Complete,A*,0,9,1703
10,45,Complete,Dijkstra,0,9,4054
10,45,Complete,Floyd-Warshall,0,9,6289
10,45,Complete,Bellman-Ford,0,9,4398
10,45,Complete,A*,0,9,3985
10,45,Complete,Dijkstra,0,9,3434
10,45,Complete,Floyd-Warshall,0,9,5914
10,45,Complete,Bellman-Ford,0,9,4157
10,45,Complete,A*,0,9,2803
10,19,Connected,Dijkstra,0,9,7264
10,19,Connected,Floyd-Warshall,0,9,14701
10,19,Connected,Bellman-Ford,0,9,4571
10,19,Connected,A*,0,9,5474
10,19,Connected,Dijkstra,0,9,4401
10,19,Connected,Floyd-Warshall,0,9,9049
10,19,Connected,Bellman-Ford,0,9,4591
10,19,Connected,A*,0,9,2618
10,19,Connected,Dijkstra,0,9,3982
10,19,Connected,Floyd-Warshall,0,9,6162
10,19,Connected,Bellman-Ford,0,9,2532
10,19,Connected,A*,0,9,1423
10,19,Connected,Dijkstra,0,9,2134
10,19,Connected,Floyd-Warshall,0,9,3657
10,19,Connected,Bellman-Ford,0,9,2451
10,19,Connected,A*,0,9,1417
10,19,Connected,Dijkstra,0,9,1920
10,19,Connected,Floyd-Warshall,0,9,3470
10,19,Connected,Bellman-Ford,0,9,2446
10,19,Connected,A*,0,9,1443
10,19,Connected,Dijkstra,0,9,1776
10,19,Connected,Floyd-Warshall,0,9,3440
10,19,Connected,Bellman-Ford,0,9,2687
10,19,Connected,A*,0,9,1363
10,19,Connected,Dijkstra,0,9,1802
10,19,Connected,Floyd-Warshall,0,9,3511
10,19,Connected,Bellman-Ford,0,9,2454
10,19,Connected,A*,0,9,1446
10,19,Connected,Dijkstra,0,9,1846
10,19,Connected,Floyd-Warshall,0,9,3562
10,19,Connected,Bellman-Ford,0,9,2445
10,19,Connected,A*,0,9,1356
10,19,Connected,Dijkstra,0,9,1850
10,19,Connected,Floyd-Warshall,0,9,3421
10,19,Connected,Bellman-Ford,0,9,2430
10,19,Connected,A*,0,9,1227
10,19,Connected,Dijkstra,0,9,1780
10,19,Connected,Floyd-Warshall,0,9,3474
10,19,Connected,Bellman-Ford,0,9,2443
10,19,Connected,A*,0,9,1249
10,9,Sparse,Dijkstra,0,9,4262
10,9,Sparse,Floyd-Warshall,0,9,11510
10,9,Sparse,Bellman-Ford,0,9,4296
10,9,Sparse,A*,0,9,3724
10,9,Sparse,Dijkstra,0,9,3253
10,9,Sparse,Floyd-Warshall,0,9,7285
10,9,Sparse,Bellman-Ford,0,9,4355
10,9,Sparse,A*,0,9,2117
10,9,Sparse,Dijkstra,0,9,2972
10,9,Sparse,Floyd-Warshall,0,9,6205
10,9,Sparse,Bellman-Ford,0,9,4341
10,9,Sparse,A*,0,9,1830
10,9,Sparse,Dijkstra,0,9,3115
10,9,Sparse,Floyd-Warshall,0,9,5907
